Smartv,#genre#
DiscoveryTurbo,https://127.0.0.1:8080/smartv/discoveryturbo_twn.m3u8
BBCEarthHD,https://127.0.0.1:8080/smartv/bbcearth_twn.m3u8
BBCWorldNews,https://127.0.0.1:8080/smartv/bbcnews_twn.m3u8
BloombergNews,https://127.0.0.1:8080/smartv/bloomberg_twn.m3u8
CBSHD,https://127.0.0.1:8080/smartv/cbshd_glo.m3u8
CBSNHD,https://127.0.0.1:8080/smartv/cbsn_glo.m3u8
ABCNews,https://127.0.0.1:8080/smartv/abcnews_glo.m3u8
BabyTV,https://127.0.0.1:8080/smartv/babytv_twn.m3u8
CBSNews,https://127.0.0.1:8080/smartv/cbsn_glo.m3u8
CNN,https://127.0.0.1:8080/smartv/cnn_twn.m3u8
DiscoveryAsia,https://127.0.0.1:8080/smartv/discoverytwn_twn.m3u8
ELEVEN体育1,https://127.0.0.1:8080/smartv/golfchannel_twn.m3u8
EYETV戏剧,https://127.0.0.1:8080/smartv/eyetvxiju_twn.m3u8
FoxNews,https://127.0.0.1:8080/smartv/foxnews_twn.m3u8
GOODTV真理,https://127.0.0.1:8080/smartv/good2_twn.m3u8
HBO家庭,https://127.0.0.1:8080/smartv/fyi_twn.m3u8
RTHK32,https://127.0.0.1:8080/smartv/rhk32_twn.m3u8
TVBS新闻,https://127.0.0.1:8080/smartv/tvbs_n.m3u8
TVBS欢乐,https://127.0.0.1:8080/smartv/tvbshuanle_twn.m3u8
WWE,https://127.0.0.1:8080/smartv/wwe_twn.m3u8
三立台湾,https://127.0.0.1:8080/smartv/sanlitaiwan.m3u8
三立戏剧,https://127.0.0.1:8080/smartv/sanlixiju_twn.m3u8
三立综合,https://127.0.0.1:8080/smartv/sanlizhonghe.m3u8
中天亚洲,https://127.0.0.1:8080/smartv/ctiasia_twn.m3u8
中天娱乐,https://127.0.0.1:8080/smartv/ctient.m3u8
中视新闻,https://127.0.0.1:8080/smartv/zhongshinews_twn.m3u8
中视新闻,https://127.0.0.1:8080/smartv/zhongshinews_twn.m3u8
中视经典,https://127.0.0.1:8080/smartv/zhongshi_twn.m3u8
亚洲旅游,https://127.0.0.1:8080/smartv/asiatravel_twn.m3u8
八大戏剧,https://127.0.0.1:8080/smartv/badadrama.m3u8
八大第一,https://127.0.0.1:8080/smartv/badafirst.m3u8
八大综合,https://127.0.0.1:8080/smartv/badazhonghe.m3u8
公视,https://127.0.0.1:8080/smartv/ctv_taiwan.m3u8
动物星球,https://127.0.0.1:8080/smartv/animalplanet_twn.m3u8
博斯网球,https://127.0.0.1:8080/smartv/bositennis_twn.m3u8
博斯运动2,https://127.0.0.1:8080/smartv/bosisport2_twn.m3u8
博斯高球1,https://127.0.0.1:8080/smartv/bosigolf1_twn.m3u8
博斯高球1,https://127.0.0.1:8080/smartv/bosigolf1_twn.m3u8
好莱坞电影,https://127.0.0.1:8080/smartv/hollywoodmovies_twn.m3u8
爱尔达体育1,https://127.0.0.1:8080/smartv/eltasport2_twn.m3u8
爱尔达体育2,https://127.0.0.1:8080/smartv/eltasport2_twn.m3u8
探索亚洲,https://127.0.0.1:8080/smartv/discoverytwn_twn.m3u8
探索动力,https://127.0.0.1:8080/smartv/discoveryturbo_twn.m3u8
星卫电影,https://127.0.0.1:8080/smartv/xingwei_movie.m3u8
时尚,https://127.0.0.1:8080/smartv/fashiontv_twn.m3u8
东森财经,https://127.0.0.1:8080/smartv/ettvcaijing_twn.m3u8
东森超视,https://127.0.0.1:8080/smartv/ettvsuper.m3u8
民视新闻,https://127.0.0.1:8080/smartv/ftvnew_taiwan.m3u8
美亚电影,https://127.0.0.1:8080/smartv/meiyamovie_twn.m3u8
靖天卡通,https://127.0.0.1:8080/smartv/jingtiancartoon_twn.m3u8
非凡新闻,https://127.0.0.1:8080/smartv/feifannews_twn.m3u8
龙华戏剧,https://127.0.0.1:8080/smartv/lunghuaxiju_twn.m3u8
Awani,https://127.0.0.1:8080/smartv/Awani.m3u8
BBC,https://127.0.0.1:8080/smartv/bbc1_antik.m3u8
BBC1,https://127.0.0.1:8080/smartv/bbc1_antik.m3u8
BBC2,https://127.0.0.1:8080/smartv/bbc2_antik.m3u8
BBC WORLD NEWS,https://127.0.0.1:8080/smartv/bbcnews_twn.m3u8
BTSports4,https://127.0.0.1:8080/smartv/btespn.m3u8
CNA亚洲新闻,https://127.0.0.1:8080/smartv/cna.m3u8
Euronews,https://127.0.0.1:8080/smartv/euronews_antik.m3u8
TLC旅游生活,https://127.0.0.1:8080/smartv/tlc_twn.m3u8
新加坡8,https://127.0.0.1:8080/smartv/TV8.m3u8
翡翠,https://127.0.0.1:8080/smartv/jade_twn.m3u8
翡翠,https://127.0.0.1:8080/smartv/Wlt.m3u8
